iter	Passed	Remaining
174	1407	6636
175	1414	6622
176	1421	6607
177	1427	6593
178	1434	6579
179	1441	6566
180	1448	6552
181	1454	6538
182	1462	6528
183	1468	6513
184	1476	6503
185	1483	6491
186	1490	6478
187	1496	6465
188	1503	6452
189	1510	6440
190	1517	6426
191	1524	6415
192	1531	6402
193	1538	6391
194	1545	6378
195	1552	6367
196	1558	6354
197	1566	6343
198	1573	6331
199	1580	6320
200	1587	6309
201	1594	6297
202	1601	6287
203	1608	6277
204	1615	6265
205	1622	6252
206	1629	6240
207	1635	6229
208	1643	6218
209	1649	6206
210	1657	6197
211	1664	6185
212	1671	6174
213	1677	6163
214	1685	6153
215	1692	6143
216	1700	6135
217	1707	6123
218	1713	6112
219	1720	6100
220	1727	6088
221	1735	6080
222	1741	6068
223	1748	6058
224	1755	6046
225	1762	6035
226	1769	6023
227	1775	6012
228	1782	6001
229	1789	5990
230	1796	5980
231	1803	5969
232	1810	5960
233	1817	5948
234	1824	5939
235	1831	5928
236	1838	5919
237	1845	5908
238	1852	5898
239	1859	5888
240	1866	5878
241	1873	5867
242	1880	5858
243	1887	5846
244	1894	5837
245	1901	5829
246	1908	5818
247	1915	5808
248	1922	5799
249	1930	5791
250	1937	5781
251	1944	5772
252	1951	5761
253	1958	5753
254	1965	5742
255	1972	5733
256	1979	5722
257	1986	5712
258	1993	5702
259	2000	5692
260	2007	5682
261	2013	5671
262	2020	5663
263	2027	5653
264	2035	5644
265	2041	5634
266	2048	5625
267	2056	5615
268	2062	5606
269	2069	5596
270	2076	5586
271	2083	5576
272	2090	5566
273	2097	5556
274	2104	5547
275	2111	5539
276	2119	5531
277	2127	5524
278	2133	5514
279	2140	5504
280	2147	5494
281	2154	5486
282	2161	5476
283	2168	5467
284	2175	5457
285	2182	5449
286	2189	5439
287	2196	5430
288	2203	5421
289	2210	5412
290	2217	5403
291	2224	5392
292	2231	5384
293	2238	5374
294	2245	5365
295	2252	5356
296	2259	5347
297	2266	5338
298	2272	5328
299	2280	5320
300	2287	5311
301	2294	5302
302	2300	5292
303	2307	5283
304	2314	5274
305	2322	5267
306	2329	5258
307	2336	5249
308	2343	5240
309	2350	5232
310	2357	5222
311	2364	5214
312	2371	5204
313	2378	5196
314	2385	5187
315	2392	5177
316	2398	5168
317	2405	5159
318	2413	5151
319	2419	5142
320	2427	5134
321	2433	5124
322	2441	5116
323	2448	5107
324	2455	5099
325	2461	5089
326	2468	5081
327	2475	5072
328	2482	5063
329	2489	5054
330	2496	5044
331	2503	5036
332	2509	5027
333	2517	5019
334	2524	5011
335	2531	5002
336	2538	4993
337	2545	4985
338	2552	4976
339	2559	4967
340	2565	4958
341	2572	4950
342	2579	4941
343	2586	4932
344	2593	4924
345	2600	4915
346	2608	4907
347	2614	4899
348	2622	4891
349	2629	4883
350	2637	4876
351	2643	4867
352	2650	4858
353	2657	4850
354	2664	4841
355	2672	4833
356	2678	4824
357	2686	4816
358	2692	4807
359	2699	4799
360	2706	4790
361	2713	4782
362	2720	4773
363	2727	4766
364	2735	4759
365	2742	4750
366	2749	4743
367	2756	4733
368	2763	4725
369	2770	4716
370	2776	4707
371	2783	4698
372	2790	4690
373	2796	4681
374	2803	4672
375	2810	4663
376	2817	4655
377	2823	4646
378	2830	4637
379	2837	4630
380	2844	4621
381	2851	4613
382	2858	4605
383	2865	4597
384	2872	4588
385	2879	4580
386	2886	4571
387	2892	4563
388	2899	4554
389	2906	4545
390	2914	4538
391	2920	4530
392	2928	4522
393	2935	4514
394	2942	4507
395	2949	4498
396	2956	4490
397	2963	4482
398	2970	4473
399	2976	4465
400	2983	4456
401	2990	4448
402	2997	4440
403	3004	4432
404	3011	4424
405	3018	4416
406	3025	4407
407	3032	4399
408	3039	4391
409	3046	4383
410	3053	4375
411	3060	4367
412	3067	4359
413	3073	4350
414	3081	4343
415	3087	4334
416	3095	4327
417	3101	4318
418	3108	4310
419	3115	4302
420	3122	4294
421	3128	4285
422	3135	4277
423	3142	4269
424	3149	4260
425	3156	4252
426	3162	4244
427	3169	4236
428	3176	4227
429	3182	4219
430	3189	4211
431	3196	4202
432	3203	4194
433	3210	4186
434	3217	4178
435	3223	4170
436	3230	4162
437	3237	4154
438	3245	4147
439	3252	4139
440	3258	4130
441	3265	4122
442	3272	4114
443	3278	4105
444	3285	4098
445	3293	4090
446	3300	4082
447	3307	4075
448	3314	4067
449	3321	4059
450	3328	4051
451	3336	4044
452	3342	4036
453	3350	4029
454	3357	4021
455	3364	4013
456	3371	4005
457	3377	3997
458	3384	3989
459	3391	3980
460	3398	3973
461	3405	3965
462	3412	3957
463	3418	3949
464	3425	3941
465	3432	3933
466	3439	3925
467	3446	3917
468	3453	3910
469	3460	3902
470	3467	3894
471	3474	3886
472	3481	3878
473	3488	3870
474	3495	3863
475	3502	3855
476	3509	3847
477	3516	3840
478	3523	3832
479	3530	3824
480	3537	3816
481	3544	3809
482	3551	3801
483	3558	3793
484	3565	3786
485	3572	3778
486	3579	3770
487	3585	3762
488	3593	3754
489	3599	3746
490	3607	3739
491	3614	3731
492	3621	3724
493	3628	3716
494	3635	3708
495	3642	3700
496	3648	3692
497	3655	3684
498	3662	3677
499	3669	3669
500	3676	3661
501	3682	3653
502	3689	3645
503	3696	3638
504	3703	3630
505	3710	3622
506	3717	3614
507	3724	3606
508	3730	3598
509	3737	3590
510	3744	3583
511	3750	3575
512	3757	3567
513	3764	3559
514	3771	3552
515	3779	3544
516	3786	3537
517	3793	3529
518	3799	3521
519	3806	3513
520	3813	3505
521	3820	3498
522	3827	3490
523	3834	3483
524	3840	3475
525	3848	3467
526	3854	3459
527	3861	3451
528	3868	3444
529	3875	3437
530	3883	3429
531	3889	3421
532	3896	3414
533	3903	3406
534	3910	3399
535	3917	3391
536	3924	3383
537	3931	3376
538	3938	3368
539	3945	3360
540	3952	3353
541	3959	3345
542	3966	3337
543	3973	3330
544	3980	3323
545	3987	3315
546	3994	3308
547	4002	3300
548	4008	3293
549	4015	3285
550	4022	3277
551	4030	3270
552	4036	3262
553	4043	3255
554	4050	3247
555	4057	3239
556	4064	3232
557	4071	3225
558	4078	3217
559	4086	3210
560	4093	3203
561	4099	3195
562	4107	3188
563	4114	3180
564	4121	3173
565	4128	3165
566	4135	3157
567	4142	3150
568	4149	3142
569	4155	3134
570	4162	3127
571	4169	3119
572	4176	3112
573	4183	3105
574	4191	3097
575	4198	3090
576	4204	3082
577	4212	3075
578	4218	3067
579	4225	3060
580	4232	3052
581	4239	3044
582	4245	3036
583	4252	3028
584	4259	3021
585	4265	3013
586	4272	3006
587	4279	2998
588	4286	2990
589	4293	2983
590	4300	2976
591	4307	2968
592	4314	2960
593	4321	2953
594	4327	2945
595	4335	2938
596	4341	2930
597	4348	2923
598	4355	2916
599	4363	2908
600	4370	2901
601	4377	2894
602	4384	2886
603	4392	2879
604	4399	2872
605	4406	2864
606	4413	2857
607	4420	2850
608	4427	2842
609	4434	2834
610	4441	2827
611	4448	2820
612	4455	2812
613	4461	2805
614	4469	2797
615	4475	2790
616	4483	2783
617	4490	2775
618	4497	2768
619	4504	2760
620	4511	2753
621	4518	2745
622	4524	2738
623	4531	2730
624	4538	2723
625	4546	2715
626	4552	2708
627	4559	2700
628	4566	2693
629	4573	2685
630	4580	2678
631	4587	2671
632	4594	2663
633	4601	2656
634	4608	2648
635	4615	2641
636	4622	2634
637	4629	2626
638	4636	2619
639	4644	2612
640	4651	2605
641	4658	2597
642	4665	2590
643	4672	2582
644	4679	2575
645	4686	2568
646	4693	2560
647	4700	2553
648	4707	2545
649	4714	2538
650	4721	2531
651	4728	2523
652	4734	2516
653	4742	2509
654	4749	2501
655	4756	2494
656	4763	2486
657	4769	2479
658	4776	2471
659	4783	2464
660	4790	2456
661	4796	2449
662	4803	2441
663	4810	2434
664	4817	2426
665	4824	2419
666	4830	2411
667	4837	2404
668	4844	2396
669	4851	2389
670	4858	2382
671	4865	2374
672	4871	2367
673	4878	2359
674	4885	2352
675	4892	2345
676	4900	2337
677	4906	2330
678	4913	2322
679	4920	2315
680	4928	2308
681	4935	2301
682	4941	2293
683	4948	2286
684	4956	2279
685	4962	2271
686	4970	2264
687	4976	2256
688	4984	2249
689	4991	2242
690	4998	2235
691	5005	2227
692	5012	2220
693	5019	2213
694	5026	2205
695	5034	2198
696	5040	2191
697	5048	2184
698	5054	2176
699	5062	2169
700	5068	2162
701	5075	2154
702	5082	2147
703	5089	2139
704	5096	2132
705	5103	2125
706	5110	2117
707	5117	2110
708	5124	2103
709	5131	2096
710	5138	2088
711	5145	2081
712	5152	2074
713	5159	2066
714	5166	2059
715	5173	2052
716	5180	2044
717	5187	2037
718	5194	2030
719	5201	2022
720	5208	2015
721	5215	2008
722	5221	2000
723	5229	1993
724	5236	1986
725	5243	1978
726	5249	1971
727	5256	1964
728	5263	1956
729	5270	1949
730	5277	1942
731	5284	1934
732	5291	1927
733	5298	1920
734	5305	1912
735	5312	1905
736	5319	1898
737	5326	1890
738	5333	1883
739	5340	1876
740	5346	1868
741	5353	1861
742	5360	1854
743	5367	1846
744	5374	1839
745	5381	1832
746	5388	1824
747	5395	1817
748	5401	1810
749	5408	1802
750	5415	1795
751	5422	1788
752	5429	1780
753	5436	1773
754	5443	1766
755	5450	1759
756	5457	1751
757	5464	1744
758	5471	1737
759	5478	1730
760	5485	1722
761	5492	1715
762	5499	1708
763	5505	1700
764	5512	1693
765	5519	1686
766	5526	1678
767	5533	1671
768	5540	1664
769	5547	1657
770	5554	1649
771	5561	1642
772	5568	1635
773	5575	1627
774	5582	1620
775	5588	1613
776	5595	1605
777	5602	1598
778	5609	1591
779	5615	1583
780	5622	1576
781	5629	1569
782	5637	1562
783	5644	1555
784	5651	1547
785	5658	1540
786	5665	1533
787	5672	1526
788	5679	1518
789	5686	1511
790	5693	1504
791	5700	1496
792	5706	1489
793	5714	1482
794	5720	1475
795	5728	1468
796	5735	1460
797	5742	1453
798	5749	1446
799	5756	1439
800	5763	1431
801	5770	1424
802	5777	1417
803	5784	1410
804	5791	1402
805	5797	1395
806	5805	1388
807	5811	1381
808	5819	1373
809	5826	1366
810	5833	1359
811	5840	1352
812	5847	1345
813	5854	1337
814	5861	1330
815	5868	1323
816	5875	1315
817	5881	1308
818	5888	1301
819	5895	1294
820	5901	1286
821	5908	1279
822	5915	1272
823	5922	1265
824	5929	1257
825	5936	1250
826	5943	1243
827	5950	1236
828	5957	1228
829	5964	1221
830	5971	1214
831	5977	1207
832	5984	1199
833	5991	1192
834	5998	1185
835	6005	1178
836	6011	1170
837	6019	1163
838	6025	1156
839	6032	1149
840	6039	1141
841	6046	1134
842	6054	1127
843	6061	1120
844	6068	1113
845	6075	1106
846	6082	1098
847	6089	1091
848	6096	1084
849	6103	1077
850	6110	1069
851	6117	1062
852	6123	1055
853	6130	1048
854	6137	1040
855	6144	1033
856	6151	1026
857	6158	1019
858	6165	1012
859	6172	1004
860	6179	997
861	6186	990
862	6193	983
863	6200	976
864	6207	968
865	6214	961
866	6221	954
867	6228	947
868	6235	939
869	6242	932
870	6249	925
871	6256	918
872	6263	911
873	6270	903
874	6277	896
875	6284	889
876	6291	882
877	6297	875
878	6304	867
879	6311	860
880	6318	853
881	6325	846
882	6332	839
883	6339	831
884	6346	824
885	6352	817
886	6359	810
887	6366	802
888	6373	795
889	6380	788
890	6388	781
891	6395	774
892	6401	767
893	6408	759
894	6416	752
895	6423	745
896	6430	738
897	6437	731
898	6444	723
899	6452	716
900	6458	709
901	6466	702
902	6473	695
903	6480	688
904	6487	681
905	6494	673
906	6501	666
907	6508	659
908	6516	652
909	6523	645
910	6529	637
911	6536	630
912	6543	623
913	6550	616
914	6557	609
915	6564	601
916	6571	594
917	6577	587
918	6585	580
919	6593	573
920	6600	566
921	6606	558
922	6614	551
923	6621	544
924	6628	537
925	6635	530
926	6642	523
927	6649	515
928	6656	508
929	6663	501
930	6670	494
931	6677	487
932	6695	480
933	6704	473
934	6726	467
935	6739	460
936	6750	453
937	6758	446
938	6767	439
939	6776	432
940	6782	425
941	6789	418
942	6796	410
943	6804	403
944	6814	396
945	6823	389
946	6830	382
947	6837	375
948	6845	367
949	6852	360
950	6859	353
951	6866	346
952	6873	338
953	6880	331
954	6886	324
955	6894	317
956	6900	310
957	6907	302
958	6914	295
959	6921	288
960	6928	281
961	6934	273
962	6941	266
963	6948	259
964	6955	252
965	6962	245
966	6970	237
967	6977	230
968	6985	223
969	6991	216
970	6999	209
971	7006	201
972	7013	194
973	7020	187
974	7027	180
975	7034	172
976	7041	165
977	7048	158
978	7055	151
979	7062	144
980	7069	136
981	7076	129
982	7083	122
983	7090	115
984	7097	108
985	7104	100
986	7111	93
987	7119	86
988	7126	79
989	7133	72
990	7140	64
991	7147	57
992	7154	50
993	7161	43
994	7168	36
995	7174	28
996	7181	21
997	7188	14
998	7195	7
999	7201	0
